LAMMPS data file via write_data, version 2 Aug 2023, timestep = 2000000, units = real

901 atoms
3 atom types
600 bonds
1 bond types
300 angles
1 angle types

-10.420365421712457 10.420365421712457 xlo xhi
-10.420365421712457 10.420365421712457 ylo yhi
-10.420365421712457 10.420365421712457 zlo zhi

Masses

1 15.9994
2 1.0079
3 22.989

PairIJ Coeffs # lj/cut/tip4p/long

1 1 0.16275 3.16435 9
1 2 0 2.08218 9
1 3 0.165569 2.67417 9
2 2 0 1 9
2 3 0 1.592 9
3 3 0.168437 2.184 9

Bond Coeffs # harmonic

1 5000 0.9572

Angle Coeffs # harmonic

1 5000 104.52

Atoms # full

697 233 1 -1.04844 -0.949083568967378 -4.106143044552868 -9.631998810303923 1 0 -1
883 295 1 -1.04844 -6.217436316176953 -1.3469833590374503 -6.128356865321141 1 2 1
176 59 2 0.52422 -1.0429159848053544 -9.192469367694915 -8.610067773455942 -2 0 -1
175 59 1 -1.04844 -1.4335803195993595 -10.05597264073935 -8.477985897437955 -2 0 -1
524 175 2 0.52422 -5.677192969373083 -6.543444239377573 -6.826212048187331 3 1 -1
149 50 2 0.52422 -0.7457689181939902 -5.690926087702382 -6.460173895081935 -2 -1 0
796 266 1 -1.04844 -1.1949890159424665 -4.1459952506331845 -5.703088786062095 1 0 1
696 232 2 0.52422 -2.4060014038351643 -8.789819142342843 -7.229586067720423 0 1 0
695 232 2 0.52422 -2.001063939013079 -7.482757084878452 -6.582924288924401 0 1 0
248 83 2 0.52422 -8.651147296711088 -8.231761309981254 -7.557909111146611 1 -1 0
781 261 1 -1.04844 -3.438970564422654 -4.9490407666101195 -8.568357140998234 1 1 -1
525 175 2 0.52422 -4.432069556431899 -7.403548645359046 -6.847188121743887 3 1 -1
206 69 2 0.52422 -8.712550824781964 -7.211552988329883 -10.33941063743041 -2 -1 -1
732 244 2 0.52422 -5.103636120965614 -4.252308281402338 -9.475932862409287 2 0 1
72 24 2 0.52422 -4.116573369342415 -4.0057945414335 -7.270162713186805 0 -1 2
604 202 1 -1.04844 -8.703976615446207 -4.399931792145792 -8.941235719525416 0 0 1
177 59 2 0.52422 -1.6974129070549182 -10.33647011166085 -9.35400730422505 -2 0 -1
449 150 2 0.52422 -6.674043681973549 -9.457083804698746 -5.551888719659684 1 -1 1
523 175 1 -1.04844 -5.155338861649015 -7.105585878919932 -7.398366661632221 3 1 -1
605 202 2 0.52422 -7.802651652768221 -4.089954212180866 -9.026243677985759 0 0 1
783 261 2 0.52422 -2.6263550226953 -4.771214292309782 -9.041360626811805 1 1 -1
94 32 1 -1.04844 -9.887968712067822 -2.8434620984871497 -7.134112158057306 2 -1 0
121 41 1 -1.04844 -1.7975761613585597 -1.438133592516742 -9.738313383315644 -1 2 1
150 50 2 0.52422 -0.5008655704368561 -6.558872492563457 -7.675600038410829 -2 -1 0
205 69 1 -1.04844 -8.875751122561269 -7.164310724116125 -9.397695046836164 -2 -1 -1
713 238 2 0.52422 -5.455439332749427 -8.088799974458821 -8.797951506604486 2 1 -1
782 261 2 0.52422 -3.641757090458424 -5.861262739691222 -8.774326000636409 1 1 -1
207 69 2 0.52422 -8.746069283626255 -6.242091944101431 -9.177696400325477 -2 -1 -1
885 295 2 0.52422 -5.554478684275975 -2.0095080282562776 -6.321356816901665 1 2 1
712 238 1 -1.04844 -5.505871991798692 -8.633671673793177 -9.582985870667086 2 1 -1
249 83 2 0.52422 -8.540509974068877 -7.698915667543833 -6.14567973030245 1 -1 0
891 297 2 0.52422 -1.0601337589831417 -7.048233670070285 -9.891361199029767 1 -1 1
606 202 2 0.52422 -9.139553549259821 -3.729746929104282 -8.415088725941088 0 0 1
730 244 1 -1.04844 -6.036275876222242 -4.243098392147283 -9.68992984261721 2 0 1
797 266 2 0.52422 -1.1270495439922517 -3.375856669416062 -6.266975360174723 1 0 1
24 8 2 0.52422 -0.5972759290319445 -0.5187785906278499 -7.156278087262604 -2 -1 0
123 41 2 0.52422 -1.6662662537344133 -2.369422397225401 -9.561800111120693 -1 2 1
714 238 2 0.52422 -5.374124068005405 -8.022930653705876 -10.307788585207215 2 1 -1
508 170 1 -1.04844 -1.192101223789301 -1.386674941581191 -5.950805715611642 -1 0 1
448 150 1 -1.04844 -6.068571489682251 -10.184524401798129 -5.410710509683588 1 -1 1
168 56 2 0.52422 -7.784538809365387 -0.9205688660248015 -9.195197146863181 1 -2 0
96 32 2 0.52422 -9.491237387924663 -3.0268056470076967 -6.2828243373056 2 -1 0
731 244 2 0.52422 -6.160567534749125 -3.434455249773989 -10.186263708496824 2 0 1
14 5 2 0.52422 -6.284909961660287 -4.907963191666064 -5.833136790591205 0 1 -1
636 212 2 0.52422 -9.997001123855867 -3.5195844241980936 -10.00137803827899 1 2 0
122 41 2 0.52422 -1.3389665560862678 -0.9920737376277078 -9.026689820339872 -1 2 1
148 50 1 -1.04844 -0.5026561964322696 -6.57955375825097 -6.718901715688701 -2 -1 0
166 56 1 -1.04844 -7.310251263480993 -0.6051599369122869 -8.426257292447051 1 -2 0
699 233 2 0.52422 -0.05725832913016227 -4.130537016385147 -9.285937165879576 1 0 -1
70 24 1 -1.04844 -4.680415553981762 -3.5585458136157246 -6.639486471720025 0 -1 2
694 232 1 -1.04844 -2.6848677754821297 -8.15209589996049 -6.572897872340408 0 1 0
247 83 1 -1.04844 -8.384990262391485 -8.481856999488222 -6.673427478827588 1 -1 0
884 295 2 0.52422 -6.69499316643013 -1.2388315761703215 -6.950515380524414 1 2 1
